,name,price,pricing_unit,product_type,supermarket,weight,price_kg,number_of_units,price_unit
280,Хлеб Маг с семечками 390г,75.99,390 г,bread,Pyaterochka,390.0,194.84615384615384,,
317,Хлеб с семечками замороженный п/ф 400г,71.99,400 г,bread,Pyaterochka,400.0,179.975,,
531,Огурцы короткоплодные 450г,278.99,450 г,cucumber,Pyaterochka,450.0,619.9777777777779,,
533,Огурец Global Village Агромос длинный 1шт.,124.99,1 шт,cucumber,Pyaterochka,,,1.0,124.99
535,Огурец Global Village среднеплодный гладкий 600г,262.99,600 г,cucumber,Pyaterochka,600.0,438.31666666666666,,
558,Огурцы Луховицкие длинные 1шт.,129.99,250 г,cucumber,Pyaterochka,250.0,519.96,,
559,Огурцы Люкс Луховицкие короткоплодные 450г,299.99,450 г,cucumber,Pyaterochka,450.0,666.6444444444445,,
1023,Яйцо куриное столовое С1 10шт.,88.99,10 шт,egg,Pyaterochka,,,10.0,8.899
1024,Яйцо куриное отборное 10шт.,95.99,10 шт,egg,Pyaterochka,,,10.0,9.599
1025,Яйцо куриное С2 10шт.,76.49,10 шт,egg,Pyaterochka,,,10.0,7.648999999999999
1027,Яйцо куриное Окское столовое С1 10шт.,119.99,10 шт,egg,Pyaterochka,,,10.0,11.998999999999999
1028,Яйцо куриное Село Зеленое Деревенское С1 10шт.,119.99,10 шт,egg,Pyaterochka,,,10.0,11.998999999999999
1029,Яйцо куриное С1 30шт.,253.99,30 шт,egg,Pyaterochka,,,30.0,8.466333333333333
1030,Яйцо куриное Окское столовое СО 10шт.,134.39,10 шт,egg,Pyaterochka,,,10.0,13.438999999999998
1033,Яйцо куриное Роскар Экстра СО 10шт.,139.99,10 шт,egg,Pyaterochka,,,10.0,13.999
1036,Яйцо куриное Лето С1 20шт.,234.99,20 шт,egg,Pyaterochka,,,20.0,11.749500000000001
1040,Яйцо куриное Лето пищевое С1 10шт.,114.99,10 шт,egg,Pyaterochka,,,10.0,11.498999999999999
1042,Яйцо куриное Село Зеленое Деревенское С0 10шт.,144.99,10 шт,egg,Pyaterochka,,,10.0,14.499
1044,Яйцо куриное Волжанин С1 10шт.,109.99,10 шт,egg,Pyaterochka,,,10.0,10.998999999999999
1055,Яйцо куриное Волжанин С1 белое 10шт,119.99,10 шт,egg,Pyaterochka,,,10.0,11.998999999999999
1365,Хлеб сандвичный Harry's American Sandwich пшеничный нарезка 470г,123.99,470 г,bread,Pyaterochka,470.0,263.80851063829783,,
1366,Хлеб Коломенский Даниловский ржано-пшеничный нарезка 350г,67.99,350 г,bread,Pyaterochka,350.0,194.25714285714284,,
1369,Хлеб Хлебный Дом тостовый пшеничный 350г,70.99,350 г,bread,Pyaterochka,350.0,202.82857142857142,,
1370,Хлеб Черемушки Столичный нарезка 330г,49.99,330 г,bread,Pyaterochka,330.0,151.4848484848485,,
1372,Хлеб Коломенское Дарницкий формовой нарезка 350г,52.49,350 г,bread,Pyaterochka,350.0,149.9714285714286,,
1373,Хлеб Коломенское Даниловский зерновой 300г,85.99,300 г,bread,Pyaterochka,300.0,286.63333333333327,,
1374,Хлеб Хлебный Дом Геркулес зерновой нарезка 250г,62.99,250 г,bread,Pyaterochka,250.0,251.96,,
1375,Хлеб Ржаной Край зерновой нарезка 300г,109.99,300 г,bread,Pyaterochka,300.0,366.6333333333333,,
1376,Хлеб Селяночка Дарницкий 320г,32.99,320 г,bread,Pyaterochka,320.0,103.09375000000001,,
1378,Хлеб Ржаной Край заварной нарезка 300г,96.99,300 г,bread,Pyaterochka,300.0,323.29999999999995,,
1383,Хлеб Черемушки Бородинский нарезка 390г,59.99,390 г,bread,Pyaterochka,390.0,153.82051282051282,,
1386,Хлеб Сибирский пекарь зерновой мультизлаковый со льном нарезка 280г,69.99,280 г,bread,Pyaterochka,280.0,249.9642857142857,,
1389,Хлеб Коломенское Бородинский нарезка 400г,59.99,400 г,bread,Pyaterochka,400.0,149.975,,
1390,Хлеб Селяночка Столичный подовый нарезка 320г,36.99,320 г,bread,Pyaterochka,320.0,115.59375000000001,,
1391,Хлеб Черемушки Зерновик нарезка 460г,109.99,460 г,bread,Pyaterochka,460.0,239.1086956521739,,
1394,Хлеб Зерница ржано-пшеничный бездрожжевой нарезка 300г,57.99,300 г,bread,Pyaterochka,300.0,193.3,,
1395,Хлеб сандвичный Harry's American Sandwich пшеничный с отрубями нарезка 515 г,139.99,515 г,bread,Pyaterochka,515.0,271.8252427184466,,
1397,Хлеб Хлебный Дом Марьин заварной 350г,89.99,350 г,bread,Pyaterochka,350.0,257.1142857142857,,
1398,Хлеб Рижский хлеб Крестьянский бездрожжевой заварной подовый 300г,67.99,300 г,bread,Pyaterochka,300.0,226.63333333333333,,
1399,Хлеб Дарницкий нарезка 160г,19.99,160 г,bread,Pyaterochka,160.0,124.9375,,
1400,Хлеб Рижский хлеб Ароматный подовый 300г,69.99,300 г,bread,Pyaterochka,300.0,233.29999999999998,,
1401,Хлеб Рижский Хлеб Бородинский 300г,93.99,300 г,bread,Pyaterochka,300.0,313.29999999999995,,
1403,Хлеб Селяночка Тостовый нарезка 250г,46.99,250 г,bread,Pyaterochka,250.0,187.96,,
1404,Хлеб Рижский хлеб Крестьянский со злаками 300г,79.99,300 г,bread,Pyaterochka,300.0,266.6333333333333,,
1405,Хлеб Нижегородский хлеб Буржуа нарезка 350г,69.99,350 г,bread,Pyaterochka,350.0,199.97142857142856,,
1406,Хлеб Зерница Полезные рецепты Пшеничный злаковый нарезка 300г,69.99,300 г,bread,Pyaterochka,300.0,233.29999999999998,,
1407,Хлеб Пеко Медведковский ржано-пшеничный заварной нарезка 375г,49.99,375 г,bread,Pyaterochka,375.0,133.30666666666667,,
1408,Хлеб Рижский хлеб ржаной со злаками 300г,134.99,300 г,bread,Pyaterochka,300.0,449.9666666666667,,
1409,Хлеб Рижский хлеб Юбилейный бездрожжевой 205г,149.99,205 г,bread,Pyaterochka,205.0,731.6585365853659,,
1411,Хлеб Пеко Медведковский пшеничный злаковый нарезка 300г,54.99,300 г,bread,Pyaterochka,300.0,183.3,,
1546,Филе грудки цыплёнка Петелинка охлаждённое,492.79,Цена за 1 кг,chicken_fillet,Pyaterochka,1000.0,492.79,,
1547,Филе бедра цыпленка Петелинка без кожи охлажденное,449.99,Цена за 1 кг,chicken_fillet,Pyaterochka,1000.0,449.99,,
3155,Рис Global Village Для плова 800г,124.99,800 г,rice,Pyaterochka,800.0,156.2375,,
3156,Рис Селяночка круглозерный 5x80г,106.99,400 г,rice,Pyaterochka,400.0,267.47499999999997,,
3157,Рис круглозернистый шлифованный 900г,49.99,900 г,rice,Pyaterochka,900.0,55.544444444444444,,
3160,Рис Селяночка длиннозерный пропаренный 900г,139.99,900 г,rice,Pyaterochka,900.0,155.54444444444445,,
3162,"Рис Селяночка круглозёрный шлифованный, 900г",129.99,900 г,rice,Pyaterochka,900.0,144.43333333333334,,
3173,Рис Увелка круглозерный шлифованный 500г,84.99,500 г,rice,Pyaterochka,500.0,169.98,,
3177,Рис пропаренный шлифованный 900г,112.99,900 г,rice,Pyaterochka,900.0,125.54444444444444,,
3180,Рис Селяночка длиннозерный первый сорт 5х80г,124.99,400 г,rice,Pyaterochka,400.0,312.475,,
3183,Рис Global Village Басмати шлифованный 450г,159.99,450 г,rice,Pyaterochka,450.0,355.53333333333336,,
3188,Рис Мистраль Янтарь длиннозерный пропаренный 5х80г,129.99,400 г,rice,Pyaterochka,400.0,324.975,,
3196,Рис Националь для плова 900г,146.99,900 г,rice,Pyaterochka,900.0,163.32222222222222,,
3197,Рис Селяночка длиннозерный шлифованный 900г,139.99,900 г,rice,Pyaterochka,900.0,155.54444444444445,,
3208,Рис Makfa шлифованный круглозерный в пакетиках 400г,88.99,400 г,rice,Pyaterochka,400.0,222.47499999999997,,
3211,Рис длиннозерный 900г,104.99,900 г,rice,Pyaterochka,900.0,116.65555555555555,,
3212,Рис Националь Золотистый длиннозерный пропаренный 900г,169.99,900 г,rice,Pyaterochka,900.0,188.8777777777778,,
3215,Рис Националь Краснодарский 900г,153.99,900 г,rice,Pyaterochka,900.0,171.1,,
3220,Рис Global Village бурый 800г,153.99,800 г,rice,Pyaterochka,800.0,192.4875,,
3225,Рис Global Village Басмати шлифованный 5х80г,169.99,400 г,rice,Pyaterochka,400.0,424.975,,
3227,Рис Мистраль Янтарь длиннозерный пропаренный 900г,222.99,900 мл,rice,Pyaterochka,900.0,247.76666666666668,,
3228,Рис Националь Бальдо 800г,158.99,800 г,rice,Pyaterochka,800.0,198.7375,,
3231,Рис Агро-альянс Экстра Элитный длиннозерный 900г,184.79,900 г,rice,Pyaterochka,900.0,205.32222222222222,,
3240,Рис Мистраль Кубань белый круглозёрный 900г,179.99,900 мл,rice,Pyaterochka,900.0,199.9888888888889,,
3248,Рис Global Village Жасмин 5х80г,129.99,5 шт,rice,Pyaterochka,400.0,324.975,,
3256,Рис Агро-Альянс Экстра Gold пропаренный 900г,222.99,900 г,rice,Pyaterochka,900.0,247.76666666666668,,
3259,Рис Global Village шлифованный 450г,176.99,450 г,rice,Pyaterochka,450.0,393.31111111111113,,
3263,Рис Националь Пилаф 800г,169.99,800 г,rice,Pyaterochka,800.0,212.4875,,
3276,Рис Yelli Бириани 250г,224.99,250 г,rice,Pyaterochka,250.0,899.96,,
