category_name,name,price,uom,supermarket
"Rau xào, nấu canh",Cải ngọt thủy canh 300g,11900,gói,Co.op
"Rau xào, nấu canh",Cải ngọt 500g,15000,gói,Co.op
"Rau xào, nấu canh",Cải ngọt 300g,10200,gói,Co.op
"Rau xào, nấu canh",Bông cải Brussel baby Úc 300g-K990 – F,119000,vỉ,Co.op
"Rau xào, nấu canh",Bông cải trắng Perfect Úc kg-K990 – F,259000,kg,Co.op
"Rau xào, nấu canh",Rau Spinach baby Úc 100g-K990 – F,85000,kg,Co.op
"Rau xào, nấu canh",Bông cải xanh Perfect Úc kg-K990 – F,289000,kg,Co.op
"Rau xào, nấu canh",Cải xanh baby Organic Bio 250g – F,19500,gói,Co.op
"Rau xào, nấu canh",Rau ngót Organic bio 250B – F,18500,gói,Co.op
"Rau xào, nấu canh",Cải thìa đà lạt Coop Select 300g – TNX,16500,gói,Co.op
"Rau xào, nấu canh",Cải ngọt Đà Lạt Coop Select 300g – TNX,16500,gói,Co.op
"Rau xào, nấu canh",Cải xanh Đà Lạt Coop Select 300g – TNX,16500,gói,Co.op
"Rau xào, nấu canh",Cải bó xôi Coop Select 300g – TNX,24900,gói,Co.op
"Rau xào, nấu canh",Bắp cải trái tim Coop Select kg – TNX,19900,kg,Co.op
"Rau xào, nấu canh",Cần tây Coop Select kg – TNX,41900,kg,Co.op
"Rau xào, nấu canh",Bông cải xanh Coop Select kg – TNX,42900,kg,Co.op
"Rau xào, nấu canh",Bắp cải trắng Coop Select kg – TNX,15900,kg,Co.op
"Rau xào, nấu canh",Bông cải xanh baby CoopSelect300g,27000,hộp,Co.op
"Rau xào, nấu canh",Cải thảo hỏa tiễn Coop Select kg,30900,kg,Co.op
"Rau xào, nấu canh",Cải ngồng baby Organic 250g – F,18900,gói,Co.op
"Rau xào, nấu canh",Rau dền cơm baby Organic 250g – F,18500,gói,Co.op
"Rau xào, nấu canh",Rau dền Lam baby Organic 250g – F,15700,gói,Co.op
"Rau xào, nấu canh",Cải bẹ xanh 300g – F,14500,gói,Co.op
"Rau xào, nấu canh",Cải ngọt 300g – F,14500,gói,Co.op
"Rau xào, nấu canh",Mồng tơi baby organic 250g – F,16500,gói,Co.op
"Rau xào, nấu canh",Rau mồng tơi 300g – F,14500,gói,Co.op
"Rau xào, nấu canh",Rau muống baby organic 400g – F,25900,gói,Co.op
"Rau xào, nấu canh",Rau dền lam baby 300g – F,27000,gói,Co.op
"Rau xào, nấu canh",Giá đậu xanh 300g,9200,gói,Co.op
"Rau xào, nấu canh",Ngò tây Coop Select 50g,6900,gói,Co.op
"Rau xào, nấu canh",Lẩu nấm đặc biệt 300g-THT,38500,vỉ,Co.op
"Rau xào, nấu canh",Bắp non 200g – SV – F – CX,18900,gói,Co.op
"Rau xào, nấu canh",Cải thìa Coop Organic 300g,34000,gói,Co.op
"Rau xào, nấu canh",Mồng tơi Coop Organic 300g,28000,gói,Co.op
"Rau xào, nấu canh",Cải ngồng Coop Organic 300g,34000,gói,Co.op
"Rau xào, nấu canh",Cải ngọt Coop Organic 300g,28000,gói,Co.op
"Rau xào, nấu canh",Cải bẹ xanh Coop Organic 300g,34000,gói,Co.op
"Rau xào, nấu canh",Rau muống Coop Organic 300g,28000,gói,Co.op
"Rau xào, nấu canh",Đọt rau lang Coop Organic 300g,34000,gói,Co.op
"Rau xào, nấu canh",Rau dền Coop Organic 300g,34000,gói,Co.op
"Rau xào, nấu canh",Bông so đũa 200g – F,20500,gói,Co.op
"Rau xào, nấu canh",Rau rừng tây ninh 200g – F,21000,gói,Co.op
"Rau xào, nấu canh",Bông điên điển 200g – F,29900,gói,Co.op
"Rau xào, nấu canh",Bông thiên lý 200g – F,42500,gói,Co.op
"Rau xào, nấu canh",Đậu rồng 200g – F,26500,gói,Co.op
"Rau xào, nấu canh",Rau má vườn 200g – F,22000,gói,Co.op
"Rau xào, nấu canh",Đọt rau lang 500g – F,28500,gói,Co.op
"Rau xào, nấu canh",Cải xanh baby 250g – F,27000,gói,Co.op
"Rau xào, nấu canh",Rau ngót non 300g – F,25900,gói,Co.op
"Rau xào, nấu canh",Rau dền cơm 200g – F,21500,gói,Co.op
"Rau xào, nấu canh",Rau dền đỏ gói 300gr – F,34500,gói,Co.op
"Rau xào, nấu canh",Cải ngọt baby 450g – F,35000,gói,Co.op
"Rau xào, nấu canh",Cải bẹ xanh non gói 400gr – F,34000,gói,Co.op
"Rau xào, nấu canh",Đậu bắp baby 300g – F,30000,gói,Co.op
"Rau xào, nấu canh",Đọt rau muống tỏi 500g – F,36000,gói,Co.op
"Rau xào, nấu canh",Đậu cove baby 300g – F,35500,gói,Co.op
"Rau xào, nấu canh",Rau muống baby 250gr – F,20500,gói,Co.op
"Rau xào, nấu canh",Đọt rau muống nước 200g – F,20000,gói,Co.op
"Rau xào, nấu canh",Cài thìa baby 300g – F,30000,vỉ,Co.op
"Rau xào, nấu canh",Bí đỏ tròn Coop Select kg – TNX,20900,kg,Co.op
"Rau xào, nấu canh",Cải thìa gói 500g – Hưng Phát,19000,bịch,Co.op
"Rau xào, nấu canh",Đậu bắp Coop Organic 300g – QL,34900,bịch,Co.op
"Rau xào, nấu canh",Cải thảo Coop Select kg,22900,kg,Co.op
"Rau xào, nấu canh",Cải ngọt gói 300g,10200,gói,Co.op
"Rau xào, nấu canh",Lá hương thảo Coop Organic 30g-Quỳnh Lam,10500,bịch,Co.op
"Rau xào, nấu canh",Cải xoăn Coop Organic 150g-Quỳnh Lam,25900,bịch,Co.op
"Rau xào, nấu canh",Cải cầu vồng Coop Organic 200g-Quỳnh Lam,33900,bịch,Co.op
"Rau xào, nấu canh",Cải bó xôi Coop Organic 200g-Quỳnh Lam,30900,bịch,Co.op
"Rau xào, nấu canh",Cải lo lo xanh 300g CB,9900,bịch,Co.op
"Rau xào, nấu canh",Đậu cove thường 300g – HP,13000,gói,Co.op
"Rau xào, nấu canh",Rau dền đỏ 300g – GFM,13900,gói,Co.op
"Rau xào, nấu canh",Rau muống con Coop 300g,13500,gói,Co.op
"Rau xào, nấu canh",Rau đay 200g – GFM,9900,gói,Co.op
"Rau xào, nấu canh",Rau dền xanh 300g – GFM,13900,gói,Co.op
"Rau xào, nấu canh",Rau lang đọt Coop 300g,11000,gói,Co.op
"Rau xào, nấu canh",Cải ngồng Coop gói 300g,15500,gói,Co.op
"Rau xào, nấu canh",Cải ngọt Coop 500g,15000,gói,Co.op
"Rau xào, nấu canh",Cải bẹ xanh Coop 500g,19000,gói,Co.op
"Rau xào, nấu canh",Cần tây Coop Select kg – VietFarm,41900,kg,Co.op
"Rau xào, nấu canh",Rau muống nước,25000,kg,Co.op
"Rau xào, nấu canh",Bông hẹ giống Đài Loan,62900,kg,Co.op
"Rau xào, nấu canh",Đậu giống Hà Lan,170000,kg,Co.op
"Rau xào, nấu canh",Cải dúng,33500,kg,Co.op
"Rau xào, nấu canh",Giá sống,10500,kg,Co.op
"Rau xào, nấu canh",Cần tàu – kg,55000,kg,Co.op
"Rau xào, nấu canh",Rau đay,34000,kg,Co.op
"Rau xào, nấu canh",Bắp cải thảo giống Đài Loan,27500,kg,Co.op
"Rau xào, nấu canh",Hành Baro kg,37900,kg,Co.op
"Rau xào, nấu canh",Hẹ lá kg,48000,kg,Co.op
"Rau xào, nấu canh",Đậu bắp kg,38200,kg,Co.op
"Rau xào, nấu canh",Ngọn su su,29500,kg,Co.op
"Rau xào, nấu canh",Xà lách lolo xanh kg,17500,kg,Co.op
"Rau xào, nấu canh",Bông cải trắng,65500,kg,Co.op
"Rau xào, nấu canh",Đậu cove thường,42500,kg,Co.op
"Rau xào, nấu canh",Bông cải xanh,47000,kg,Co.op
"Rau xào, nấu canh",Cải xậy,26500,kg,Co.op
"Rau xào, nấu canh",Rau muống hữu cơ Viet RAP 300g – CX,19000,gói,Co.op
"Rau xào, nấu canh",Cải Caron,29000,kg,Co.op
"Rau xào, nấu canh",Bắp cải trắng – kg,12900,kg,Co.op
"Rau xào, nấu canh",Bắp cải thảo,12200,kg,Co.op
"Rau xào, nấu canh",Rau muống baby Coop Select gói 280g,13500,gói,Co.op
"Rau xào, nấu canh",Rau dền baby Coop Select 250g,11900,gói,Co.op
"Rau xào, nấu canh",Rau mồng tơi baby Coop Select gói 280g,13500,gói,Co.op
"Rau xào, nấu canh",Cần tây,29900,kg,Co.op
"Rau xào, nấu canh",Đậu đũa,37000,kg,Co.op
"Rau xào, nấu canh",Cải thảo Đà Lạt Coop Select – kg,22900,kg,Co.op
"Rau xào, nấu canh",Rau tần ô,36500,kg,Co.op
"Rau xào, nấu canh",Rau dền VG 450g – HN – CX,19000,gói,Co.op
"Rau xào, nấu canh",Cải ngồng gói 500g – HPhát,23500,gói,Co.op
"Rau xào, nấu canh",Vỉ canh chua bạc hà,50000,vỉ,Co.op
"Rau xào, nấu canh",Rau mồng tơi Coop gói 500g,15000,gói,Co.op
"Rau xào, nấu canh",Rau mồng tơi,27000,kg,Co.op
"Rau xào, nấu canh",Rau muống Coop đóng gói 500g,16500,gói,Co.op
"Rau xào, nấu canh",Bắp cải tím,43900,kg,Co.op
"Rau xào, nấu canh",Bắp Cải Trái Tim,21500,kg,Co.op
"Rau xào, nấu canh",Cải thìa VG 450g – HN – CX,19000,gói,Co.op
